id,Danceability
17170,5.265617
17171,6.385276
17172,5.243979
17173,3.908717
17174,5.321070
17175,6.319936
17176,5.312675
17177,3.278432
17178,5.570959
17179,3.052172
17180,3.693894
17181,4.899231
17182,6.247863
17183,6.597410
17184,5.232051
17185,5.032735
17186,5.191207
17187,2.892001
17188,3.711726
17189,4.368712
17190,6.994005
17191,6.860792
17192,5.748307
17193,6.009061
17194,5.377584
17195,7.991266
17196,6.151495
17197,6.241919
17198,6.363213
17199,5.278496
17200,3.337776
17201,3.977547
17202,1.529359
17203,2.355868
17204,6.425384
17205,3.230792
17206,5.743195
17207,2.700540
17208,2.517452
17209,3.182095
17210,4.555621
17211,4.472720
17212,2.006191
17213,6.689244
17214,5.713919
17215,4.612519
17216,5.772821
17217,5.924716
17218,6.688530
17219,5.773680
17220,6.333756
17221,2.799612
17222,4.340914
17223,4.778979
17224,3.993761
17225,4.033999
17226,6.063155
17227,3.662578
17228,5.226047
17229,4.627473
17230,2.791990
17231,4.531995
17232,4.675658
17233,2.739266
17234,2.445493
17235,2.815078
17236,2.585802
17237,2.317017
17238,2.098588
17239,4.200388
17240,1.019146
17241,1.593559
17242,1.719310
17243,4.941596
17244,2.913371
17245,3.069093
17246,5.017496
17247,6.894184
17248,3.046867
17249,5.051124
17250,2.029600
17251,4.462916
17252,3.321465
17253,4.193711
17254,5.768296
17255,6.236983
17256,6.194217
17257,7.404471
17258,3.988625
17259,4.316801
17260,4.756761
17261,5.905527
17262,7.145726
17263,6.862915
17264,5.314408
17265,6.247766
17266,4.163177
17267,4.274001
17268,6.393874
17269,5.898618
17270,6.966403
17271,7.269654
17272,7.373898
17273,5.587879
17274,6.608844
17275,7.091154
17276,4.241564
17277,4.220866
17278,4.446997
17279,5.857359
17280,3.642219
17281,6.182866
17282,2.969972
17283,5.530138
17284,6.082429
17285,6.984013
17286,5.218573
17287,3.319440
17288,4.804184
17289,5.276517
17290,5.407520
17291,4.483422
17292,5.258750
17293,5.263751
17294,7.152863
17295,6.923955
17296,7.322188
17297,5.178755
17298,5.976303
17299,6.961705
17300,6.851109
17301,6.037519
17302,7.038120
17303,2.210557
17304,7.531599
17305,3.779851
17306,5.165722
17307,4.780157
17308,4.131854
17309,5.220287
17310,5.932107
17311,6.746340
17312,4.313454
17313,6.033756
17314,7.832458
17315,6.290291
17316,5.559532
17317,5.701272
17318,4.919869
17319,3.813575
17320,7.475833
17321,5.050980
17322,3.848702
17323,5.576851
17324,4.144724
17325,3.270354
17326,4.943908
17327,3.752140
17328,1.719116
17329,5.400098
17330,4.685893
17331,4.725605
17332,3.148987
17333,4.390465
17334,3.762995
17335,5.200343
17336,5.915163
17337,5.770846
17338,7.004854
17339,6.727582
17340,6.554281
17341,3.028485
17342,5.105403
17343,2.872796
17344,1.784148
17345,2.609466
17346,6.152599
17347,5.607972
17348,6.663557
17349,3.222494
17350,6.591398
17351,3.234898
17352,4.693507
17353,5.142115
17354,5.863522
17355,6.037565
17356,5.010008
17357,6.623255
17358,5.101226
17359,7.424148
17360,6.227394
17361,7.329646
17362,5.294669
17363,6.963507
17364,7.167562
17365,5.907217
17366,4.538494
17367,7.264175
17368,7.661963
17369,7.059176
17370,7.454133
17371,7.498281
17372,4.995834
17373,4.444351
17374,4.025705
17375,4.247708
17376,4.611806
17377,0.749748
17378,3.998833
17379,6.749943
17380,6.687444
17381,4.618499
17382,5.323426
17383,6.507374
17384,7.529806
17385,6.859514
17386,5.669227
17387,4.213150
17388,7.070521
17389,5.204336
17390,7.066071
17391,6.504743
17392,7.315109
17393,6.070233
17394,5.597880
17395,6.157634
17396,7.840808
17397,4.195984
17398,5.439235
17399,4.785573
17400,5.286043
17401,3.942603
17402,5.064880
17403,5.650726
17404,5.160957
17405,5.222804
17406,2.973988
17407,4.394051
17408,4.329961
17409,5.318403
17410,4.651420
17411,5.539059
17412,2.627663
17413,6.678894
17414,5.754944
17415,5.388137
17416,6.507779
17417,5.756960
17418,7.146489
17419,6.871412
17420,3.106473
